id,bbox,sick
Train_170.jpg,"[64, 0, 64, 43]",1
Train_1129.jpg,"[128, 0, 64, 43]",1
Train_630.jpg,"[192, 0, 64, 43]",0
Train_1686.jpg,"[320, 0, 64, 43]",1
Train_590.jpg,"[384, 0, 64, 43]",1
Train_948.jpg,"[448, 0, 64, 43]",0
Train_645.jpg,"[512, 0, 64, 43]",1
Train_812.jpg,"[576, 0, 64, 43]",0
Train_697.jpg,"[640, 0, 64, 43]",1
Train_1512.jpg,"[704, 0, 64, 43]",1
Train_334.jpg,"[768, 0, 64, 43]",1
Train_192.jpg,"[896, 0, 64, 43]",1
Train_109.jpg,"[960, 0, 64, 43]",1
Train_1248.jpg,"[1088, 0, 64, 43]",0
Train_1188.jpg,"[1152, 0, 64, 43]",1
Train_189.jpg,"[1216, 0, 64, 43]",1
Train_734.jpg,"[1280, 0, 64, 43]",1
Train_1063.jpg,"[1408, 0, 64, 43]",1
Train_712.jpg,"[1472, 0, 64, 43]",1
Train_36.jpg,"[1536, 0, 64, 43]",1
Train_567.jpg,"[1664, 0, 64, 43]",1
Train_629.jpg,"[1728, 0, 64, 43]",1
Train_1103.jpg,"[1792, 0, 64, 43]",0
Train_1148.jpg,"[64, 43, 64, 43]",1
Train_833.jpg,"[128, 43, 64, 43]",0
Train_490.jpg,"[192, 43, 64, 43]",1
Train_1526.jpg,"[320, 43, 64, 43]",1
Train_1802.jpg,"[384, 43, 64, 43]",1
Train_517.jpg,"[448, 43, 64, 43]",1
Train_530.jpg,"[512, 43, 64, 43]",1
Train_1554.jpg,"[640, 43, 64, 43]",1
Train_603.jpg,"[704, 43, 64, 43]",0
Train_1664.jpg,"[768, 43, 64, 43]",1
Train_1433.jpg,"[832, 43, 64, 43]",1
Train_74.jpg,"[896, 43, 64, 43]",1
Train_1646.jpg,"[960, 43, 64, 43]",0
Train_132.jpg,"[1024, 43, 64, 43]",1
Train_235.jpg,"[1088, 43, 64, 43]",1
Train_1230.jpg,"[1216, 43, 64, 43]",0
Train_789.jpg,"[1280, 43, 64, 43]",1
Train_62.jpg,"[1344, 43, 64, 43]",1
Train_939.jpg,"[1408, 43, 64, 43]",0
Train_1348.jpg,"[1472, 43, 64, 43]",0
